gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds
4214195982,0,23169,2679,40,8,262,70,0,7,18,6,66,7,0,0,0,0,0,0,0,0,0,1,1,31633,7733,48,9.6,340,106,0,18,7,23,32,7,1,1,6,5,0,1,1,1,2,0
4227397365,1,28610,5025,48,9.6,366,89,0,16,11,21,70,10,0,0,0,0,0,0,0,0,1,1,0,25600,2938,45,9,367,84,0,11,16,7,59,4,0,0,0,0,0,0,0,1,1,0
4197484563,0,23904,2384,43,8.6,388,74,0,6,9,10,35,9,0,0,0,0,0,0,0,0,0,0,1,26752,1522,44,8.8,337,89,0,9,6,9,26,12,1,0,1,0,0,1,0,1,2,1
4197090297,1,28917,3017,48,9.6,371,83,0,11,11,10,29,8,1,0,3,1,0,2,0,0,1,1,0,25703,5888,47,9.4,319,80,0,11,11,18,39,8,0,0,1,0,1,0,0,1,1,0
4195011416,0,22269,2169,44,8.8,327,68,0,5,12,1,34,5,0,0,0,0,0,0,0,0,0,1,1,27722,1747,47,9.4,358,93,0,12,5,16,27,9,1,0,1,0,0,1,0,1,2,0
4188653853,1,27996,2911,48,9.6,324,78,0,17,8,23,36,8,0,0,0,0,0,0,0,0,1,0,0,23688,2405,44,8.8,326,71,0,8,17,8,29,8,0,0,0,0,0,0,0,1,1,0
4188186426,0,27936,1731,48,9.6,324,69,0,16,23,21,30,4,0,0,0,0,0,0,0,0,0,0,1,32823,5662,51,10.2,322,114,0,23,16,28,63,8,1,0,2,0,1,1,0,1,2,1
4222796125,0,4797,2497,12,2.4,42,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,4769,1994,14,2.8,31,16,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
4221873173,0,24679,2754,42,8.4,310,71,0,10,16,12,32,10,0,0,0,0,0,0,0,1,2,0,1,28842,4667,48,9.6,362,68,0,16,10,21,30,8,1,0,1,0,1,0,0,0,0,1
4217160715,0,23593,4743,46,9.2,356,63,0,6,13,6,30,8,0,0,0,0,0,0,0,0,0,0,1,28815,3139,49,9.8,360,86,0,13,6,14,86,11,1,0,1,0,0,1,0,1,1,1
4213176456,0,22632,2452,42,8.4,264,68,0,10,28,16,28,10,0,0,0,0,0,0,0,0,0,0,1,35502,6876,49,9.8,346,80,0,28,10,31,31,13,1,1,5,3,1,1,1,1,2,1
4212169431,1,33417,3904,50,10,371,98,0,20,3,22,48,11,1,0,2,0,1,1,0,1,2,1,0,20867,2427,43,8.6,308,63,0,3,20,4,28,3,0,0,2,2,0,0,0,0,0,0
4218509355,1,29941,5385,48,9.6,343,74,0,14,10,24,27,7,0,0,2,0,1,1,0,1,2,1,0,25411,1351,45,9,313,77,0,10,14,13,43,6,1,0,2,1,1,0,0,0,0,0
4215680869,1,32127,1664,49,9.8,314,99,0,19,9,28,33,12,1,0,3,0,2,1,0,1,1,1,0,24689,1884,43,8.6,342,69,0,9,19,13,107,2,0,0,0,0,0,0,0,0,0,0
4214725590,0,25076,1686,44,8.8,320,64,0,10,18,11,25,5,1,0,1,0,1,0,0,0,0,0,1,29514,5299,47,9.4,342,65,0,18,10,25,40,11,0,0,2,1,0,1,0,1,1,0
4211700850,0,27024,5984,46,9.2,323,83,0,12,12,14,24,5,1,0,1,0,1,0,0,0,0,1,1,26944,4744,46,9.2,352,80,0,12,12,16,34,9,0,0,1,1,0,0,0,1,1,0
4211597940,0,23897,1802,45,9,338,88,0,7,20,8,27,5,0,0,0,0,0,0,0,0,1,0,1,34365,6335,50,10,393,111,0,20,7,17,30,6,1,0,3,1,1,1,0,1,1,1
4211613986,0,28578,4725,47,9.4,347,83,0,10,9,8,49,6,1,0,3,1,1,1,0,0,1,1,1,26377,2617,47,9.4,341,104,0,9,10,13,34,7,0,0,1,0,0,1,0,1,1,0
4228700765,1,28610,3400,47,9.4,341,71,0,16,10,20,30,12,0,0,1,0,0,1,0,0,0,0,0,28852,2374,46,9.2,404,77,0,10,16,9,40,6,1,0,3,2,1,0,0,1,2,1
4218991827,0,24438,3858,46,9.2,323,92,0,9,17,9,29,11,0,0,0,0,0,0,0,1,1,0,1,30449,4489,48,9.6,353,84,0,17,9,17,25,7,1,0,2,1,1,0,0,0,0,1
4212796871,0,22606,3921,45,9,395,60,0,3,12,4,31,19,0,0,0,0,0,0,0,0,0,0,1,28412,5500,47,9.4,393,92,0,12,3,12,114,13,1,0,3,2,0,1,0,1,2,1
4212155618,0,25267,1052,45,9,324,78,0,7,13,9,26,7,1,0,1,0,0,1,0,0,0,1,1,26704,3302,47,9.4,309,56,0,13,7,24,32,8,0,0,1,0,1,0,0,1,1,0
4212162217,1,32604,1619,50,10,402,88,0,16,4,17,36,8,0,0,4,2,0,2,0,0,0,1,0,21253,1743,42,8.4,307,79,0,4,16,5,45,8,1,0,1,0,1,0,0,1,1,0
4209470787,1,29637,3869,46,9.2,337,67,0,19,11,24,26,7,1,0,2,0,1,1,0,1,1,1,0,26004,3614,43,8.6,277,80,0,11,19,19,29,8,0,0,0,0,0,0,0,0,0,0
4208719716,0,25212,3992,43,8.6,352,62,0,7,17,9,35,14,0,0,1,0,1,0,0,0,0,1,1,29868,2343,49,9.8,326,95,0,17,7,26,39,14,1,0,1,0,1,0,0,1,2,0
4206919083,1,26718,3808,48,9.6,334,86,0,13,6,17,40,13,0,0,0,0,0,0,0,1,1,0,0,23893,2453,45,9,331,86,0,6,13,8,38,10,1,0,1,0,0,1,0,0,0,1
4213587268,0,24040,2490,47,9.4,362,84,0,6,9,7,28,11,0,0,0,0,0,0,0,0,0,1,1,25902,4717,47,9.4,388,79,0,9,6,15,27,8,0,0,0,0,0,0,0,1,2,0
4198216180,1,29952,3087,48,9.6,338,79,0,19,8,20,44,5,1,0,2,0,2,0,0,0,1,0,0,24134,2469,43,8.6,298,72,0,8,19,7,26,5,0,0,1,0,0,1,0,1,1,0
4157811324,0,29796,3946,50,10,407,103,0,15,9,11,27,10,0,0,1,0,0,1,0,0,1,0,1,25423,1883,43,8.6,345,61,0,9,15,11,31,9,1,0,1,0,0,1,0,1,1,0
4155271004,1,25646,1801,44,8.8,330,79,0,11,24,13,26,6,0,0,0,0,0,0,0,0,0,0,0,31990,2947,49,9.8,361,84,0,24,11,25,24,7,1,0,2,1,0,1,0,1,1,1
4155137878,1,31498,3693,49,9.8,348,103,0,21,11,27,47,6,1,0,2,1,0,1,0,1,2,1,0,25492,3061,43,8.6,322,76,0,11,21,11,17,7,0,0,1,0,1,0,0,0,0,0
4149215786,1,28360,1024,44,8.8,407,72,0,9,11,9,33,10,1,0,2,0,2,0,0,0,0,1,0,25007,4072,46,9.2,352,72,0,11,9,17,36,12,0,0,1,0,0,1,0,1,1,0
4208440854,0,22519,2554,44,8.8,371,71,0,5,10,3,43,8,0,0,0,0,0,0,0,1,1,0,1,26938,3640,48,9.6,387,105,0,10,5,11,25,6,0,0,0,0,0,0,0,0,1,0
4207034946,0,29301,6101,47,9.4,362,88,0,14,4,14,57,17,1,0,1,0,1,0,0,0,0,1,1,23368,1168,45,9,348,71,0,4,14,5,41,6,0,0,1,0,0,1,0,1,2,0
4206207125,0,25839,3418,46,9.2,341,76,0,10,8,16,32,5,0,0,0,0,0,0,0,0,0,0,1,24581,2396,45,9,328,95,0,8,10,15,26,6,0,0,0,0,0,0,0,1,1,0
4202499956,0,27330,1750,46,9.2,330,102,0,13,10,15,39,11,1,0,1,0,1,0,0,0,1,0,1,26596,5211,46,9.2,344,93,0,10,13,10,30,11,0,0,1,1,0,0,0,1,1,1
4189083653,1,30715,5010,48,9.6,303,74,0,23,10,26,31,5,0,0,0,0,0,0,0,0,1,1,0,22665,2105,40,8,228,64,0,10,23,14,21,10,1,0,1,1,0,0,0,1,1,0
4083406214,1,27222,5177,44,8.8,309,79,0,13,12,15,32,7,1,0,1,1,0,0,0,1,1,1,0,26156,2601,44,8.8,357,57,0,12,13,17,31,12,0,0,1,0,1,0,0,0,0,0
4217166196,1,26786,1851,48,9.6,344,82,0,11,11,16,27,12,0,0,1,0,0,1,0,0,0,0,0,29414,2939,48,9.6,391,101,0,11,11,13,31,9,1,0,2,1,1,0,0,1,2,1
4216807331,0,27004,3989,46,9.2,390,70,0,8,5,13,26,14,1,0,2,1,1,0,0,0,0,1,1,24845,3165,45,9,362,113,0,5,8,6,59,9,0,0,1,0,0,1,0,1,2,0
4216065108,0,26113,4313,48,9.6,333,96,0,10,17,12,28,11,0,0,0,0,0,0,0,1,1,0,1,30203,3273,50,10,346,85,0,17,10,23,29,8,1,0,1,0,0,1,0,0,1,1
4213864524,0,20616,3255,42,8.4,309,71,0,4,21,6,30,8,0,0,0,0,0,0,0,0,0,0,1,32437,5737,50,10,354,87,0,21,4,31,30,11,1,0,3,1,1,1,0,1,1,1
4208245015,0,26636,4211,48,9.6,377,79,0,8,11,10,34,14,1,0,1,0,1,0,0,0,0,1,1,27381,3476,48,9.6,402,76,0,11,8,20,35,12,0,0,0,0,0,0,0,1,2,0
4203792128,1,33431,5303,50,10,377,50,0,24,9,44,32,10,1,0,2,1,0,1,0,1,2,1,0,25105,4095,46,9.2,360,79,0,9,24,15,27,6,0,0,0,0,0,0,0,0,0,0
4203089913,0,24525,1610,47,9.4,369,87,0,6,9,11,28,12,0,0,0,0,0,0,0,0,0,0,1,26209,2469,48,9.6,365,95,0,9,6,11,31,8,1,0,1,0,1,0,0,1,2,1
4193816872,0,24484,3104,46,9.2,375,115,0,4,10,3,32,11,1,0,1,0,0,1,0,0,1,1,1,26164,2299,47,9.4,399,54,0,10,4,10,42,9,0,0,1,0,1,0,0,1,1,0
4193872051,1,30986,3951,51,10.2,367,92,0,16,2,15,26,9,0,0,0,0,0,0,0,1,1,1,0,20074,1399,43,8.6,311,64,0,2,16,2,26,5,1,0,2,1,1,0,0,0,0,0
4193860160,0,4421,2221,11,2.2,30,16,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5285,2785,14,2.8,49,19,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
4192917699,0,26310,4375,47,9.4,380,100,0,9,14,10,30,11,0,0,0,0,0,0,0,0,0,1,1,28747,3987,49,9.8,366,91,0,14,9,13,34,8,1,0,1,0,0,1,0,1,2,0
4186295902,0,24245,4722,47,9.4,353,81,0,8,4,15,73,13,0,0,0,0,0,0,0,0,1,0,1,24701,2448,45,9,385,91,0,4,8,6,69,14,1,0,1,0,1,0,0,1,1,1
4183647618,0,24329,2539,44,8.8,377,75,0,6,10,9,45,19,0,0,1,0,0,1,0,1,1,0,1,26975,3553,47,9.4,388,95,0,10,6,16,106,21,1,0,1,0,1,0,0,0,1,1
4183672946,1,30253,2736,47,9.4,377,88,0,12,9,18,34,5,1,0,3,1,1,1,0,0,1,1,0,24052,3045,43,8.6,315,80,0,9,12,15,23,7,0,0,0,0,0,0,0,1,1,0
4182168304,1,31830,9061,49,9.8,366,92,0,21,4,35,59,8,1,0,3,1,1,1,0,1,2,0,0,22863,2480,44,8.8,315,75,0,4,21,4,24,9,0,0,1,0,1,0,0,0,0,1
4182162209,1,25148,6748,42,8.4,348,61,0,11,2,11,82,4,1,1,5,2,0,3,1,1,1,1,0,18285,3685,38,7.6,276,76,0,2,11,3,18,17,0,0,0,0,0,0,0,0,0,0
